# 資料庫版本: 2020-06-14
序號	頁碼	勘誤表頁碼	音節組	字頭	兼容字頭	讀音	聲調	讀音分類	讀音備註	釋義	字條校訂註	義項#	讀音#
288.0.05.0.11	269		má	痲		꜁má	陽平					1/1	1/1
288.0.06.0.11	269		má	蟆		꜁má	陽平			A striped frog; [꜁há ꜁má], the edible frog.		1/2	1/1
288.0.06.0.21	269		má	蟆		mok꜇	陽入			A sort of gnat.		2/2	1/1
288.0.07.0.11	269		má	媽		꜃má	陽上					1/1	1/1
288.0.08.0.11	269		má	馬		꜃má	陽上					1/1	1/1
288.0.09.0.11	270		má	螞		꜃má	陽上					1/1	1/1
288.0.10.0.11	270		má	瑪		꜃má	陽上					1/1	1/1
288.0.11.0.11	270		má	碼		꜃má	陽上					1/1	1/1
288.0.12.0.11	270		má	嗎		꜃má	陽上					1/1	1/1
288.0.13.0.11	270		má	罵		má꜅	陽去					1/1	1/1
288.0.14.0.11	270		má	禡		má꜅	陽去					1/1	1/1
289.0.01.0.11	270		mai	咡		꜀mai	陰平					1/1	1/1
289.0.02.0.11	270		mai	迷		꜁mai	陽平					1/1	1/1
289.0.03.0.11	270		mai	埋		꜁mai	陽平					1/1	1/2
289.0.03.0.12	270		mai	埋		꜁mái	陽平	USUALLY_PRO				1/1	2/2
289.0.04.0.11	270		mai	霾		꜁mai	陽平					1/1	1/1
289.0.05.0.11	271		mai	米		꜃mai	陽上					1/1	1/1
289.0.06.0.11	271		mai	咪		꜃mai	陽上					1/1	1/1
289.0.07.0.11	271		mai	袂		mai꜅	陽去					1/1	1/1
289.0.08.0.11	271		mai	謎		mai꜅	陽去					1/1	1/1
290.0.01.0.11	271		mái	埋		꜁mái	陽平					1/1	1/1
290.0.02.0.11	271		mái	買		꜃mái	陽上					1/1	1/1
290.0.03.0.11	272		mái	賣		mái꜅	陽去					1/1	1/1
290.0.04.0.11	272		mái	邁		mái꜅	陽去					1/1	1/1
291.0.01.0.11	272		mak	麥		mak꜇	陽入					1/1	1/2
291.0.01.0.12	272		mak	麥		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.02.0.11	272		mak	默|嘿		mak꜇	陽入					1/1	1/2
291.0.02.0.12	272		mak	默|嘿		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.03.0.11	272		mak	墨		mak꜇	陽入					1/1	1/2
291.0.03.0.12	272		mak	墨		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.04.0.11	273		mak	纆		mak꜇	陽入					1/1	1/2
291.0.04.0.12	273		mak	纆		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.05.0.11	273		mak	脈|脉		mak꜇	陽入					1/1	1/2
291.0.05.0.12	273		mak	脈|脉		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.06.0.11	273		mak	霢		mak꜇	陽入					1/1	1/2
291.0.06.0.12	273		mak	霢		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.07.0.11	273		mak	陌		mak꜇	陽入					1/1	1/2
291.0.07.0.12	273		mak	陌		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.08.0.11	273		mak	貘		mak꜇	陽入					1/1	1/2
291.0.08.0.12	273		mak	貘		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.09.0.11	273		mak	貊|貉		mak꜇	陽入					1/1	1/2
291.0.09.0.12	273		mak	貊|貉		mák꜇	陽入	OFTEN_PRO				1/1	2/2
291.0.10.0.11	273		mak	驀		mak꜇	陽入					1/1	1/2
291.0.10.0.12	273		mak	驀		mák꜇	陽入	OFTEN_PRO				1/1	2/2
292.0.01.0.11	273		mák	擘		mák꜇	陽入					1/1	1/1
293.0.01.0.11	273		man	蚊		꜀man	陰平					1/1	1/1
293.0.02.0.11	273		man	文		꜁man	陽平			Strokes, lines, veins, markings, bands, spots, striae, clondy; what is variegated or ornamental; symmetrical lines and colors…		1/2	1/1
293.0.02.0.21	273		man	文		man꜅	陽去			To gloss over, to moderate; [man꜅ kwo꜄] to conceal errors.		2/2	1/1
293.0.03.0.11	274		man	紋		꜁man	陽平					1/1	1/1
293.0.04.0.11	274		man	旻		꜁man	陽平					1/1	1/1
293.0.05.0.11	274		man	魰		꜁man	陽平				字模本作䰻	1/1	1/1
293.0.06.0.11	274		man	民		꜁man	陽平					1/1	1/1
293.0.07.0.11	274		man	緡		꜁man	陽平					1/1	1/1
293.0.08.0.11	274		man	氓|甿		꜁man	陽平					1/1	1/1
293.0.09.0.11	274		man	岷		꜁man	陽平					1/1	1/1
293.0.10.0.11	274		man	珉		꜁man	陽平					1/1	1/1
293.0.11.0.11	275		man	聞		꜁man	陽平					1/1	1/1
293.0.12.0.11	275		man	閩		꜁man	陽平					1/1	1/1
293.0.13.0.11	275		man	閔		꜃man	陽上					1/1	1/1
293.0.14.0.11	275		man	憫|愍		꜃man	陽上					1/1	1/1
293.0.15.0.11	275		man	泯		꜃man	陽上					1/1	1/1
293.0.16.0.11	275		man	抆		꜃man	陽上					1/1	1/1
293.0.17.0.11	275		man	汶		꜃man	陽上					1/1	1/1
293.0.18.0.11	275		man	吻		꜃man	陽上					1/1	1/1
293.0.19.0.11	275		man	脗		꜃man	陽上					1/1	1/1
293.0.20.0.11	275		man	刎		꜃man	陽上					1/1	1/1
293.0.21.0.11	275		man	敏		꜃man	陽上					1/1	1/1
293.0.22.0.11	275		man	鰵		꜃man	陽上					1/1	1/1
293.0.23.0.11	275		man	暋		꜃man	陽上					1/1	1/1
293.0.24.0.11	276		man	黽|黾		꜃man	陽上					1/1	1/1
293.0.25.0.11	276		man	呡		man꜄	陰去			The colloquial word; the edge of a thing, the brink; near in time, last moment; to go near to the limits of…		1/1	1/1
293.0.26.0.11	276		man	聞		man꜅	陽去					1/1	1/1
293.0.27.0.11	276		man	問		man꜅	陽去					1/1	1/1
294.0.01.0.11	276		mán	𢺳		꜀mán	陰平					1/1	1/1
294.0.02.0.11	276		mán	蠻		꜁mán	陽平					1/1	1/1
294.0.03.0.11	277		mán	饅		꜁mán	陽平					1/1	1/1
294.0.04.0.11	277		mán	晚		꜃mán	陽上					1/1	1/1
294.0.05.0.11	277		mán	萬|万		mán꜅	陽去					1/1	1/1
294.0.06.0.11	277		mán	曼		mán꜅	陽去					1/1	1/1
294.0.07.0.11	277		mán	僈		mán꜅	陽去					1/1	1/1
294.0.08.0.11	277		mán	嫚		mán꜅	陽去					1/1	1/1
294.0.09.0.11	277		mán	慢		mán꜅	陽去					1/1	1/1
294.0.10.0.11	278		mán	謾		mán꜅	陽去					1/1	1/1
294.0.11.0.11	278		mán	漫		mán꜅	陽去					1/1	1/1
294.0.12.0.11	278		mán	蔓		mán꜅	陽去					1/1	1/1
294.0.13.0.11	278		mán	幔		mán꜅	陽去					1/1	1/1
294.0.14.0.11	278		mán	鰻		mán꜅	陽去					1/1	1/1
294.0.14.1.11		723	mán	熳		mán꜅	陽去					1/1	1/1
295.0.01.0.11	278		mang	𠵼		꜀mang	陰平					1/1	1/2
295.0.01.0.12	278		mang	𠵼		꜀máng	陰平	OFTEN_PRO				1/1	2/2
295.0.02.0.11	278		mang	萌		꜁mang	陽平					1/1	1/2
295.0.02.0.12	278		mang	萌		꜁máng	陽平	OFTEN_PRO				1/1	2/2
295.0.03.0.11	278		mang	盟		꜁mang	陽平					1/1	1/2
295.0.03.0.12	278		mang	盟		꜁máng	陽平	OFTEN_PRO				1/1	2/2
295.0.04.0.11	278		mang	猛		꜃mang	陽上					1/1	1/2
295.0.04.0.12	278		mang	猛		꜃máng	陽上	OFTEN_PRO				1/1	2/2
295.0.05.0.11	279		mang	蜢		꜃mang	陽上					1/1	1/2
295.0.05.0.12	279		mang	蜢		꜃máng	陽上	OFTEN_PRO				1/1	2/2
295.0.06.0.11	279		mang	艋		꜃mang	陽上					1/1	1/2
295.0.06.0.12	279		mang	艋		꜃máng	陽上	OFTEN_PRO				1/1	2/2
295.0.07.0.11	279		mang	掹		mang꜄	陰去					1/1	1/2
295.0.07.0.12	279		mang	掹		máng꜄	陰去	OFTEN_PRO				1/1	2/2
295.0.08.0.11	279		mang	孟		mang꜅	陽去					1/1	1/2
295.0.08.0.12	279		mang	孟		máng꜅	陽去	OFTEN_PRO				1/1	2/2
296.0.01.0.11	279		máng	繃		꜀máng	陰平					1/1	1/1
296.0.02.0.11	279		máng	盲		꜁máng	陽平					1/1	1/1
297.0.01.0.11	279		mat	乜		mat꜆	陰入					1/1	1/1
297.0.02.0.11	280		mat	勿		mat꜇	陽入					1/1	1/1
297.0.03.0.11	280		mat	沕		mat꜇	陽入					1/1	1/1
297.0.04.0.11	280		mat	物		mat꜇	陽入					1/1	1/1
297.0.05.0.11	280		mat	宓		mat꜇	陽入					1/1	1/1
297.0.06.0.11	280		mat	密|宻		mat꜇	陽入					1/1	1/1
297.0.07.0.11	280		mat	蜜		mat꜇	陽入					1/1	1/1
297.0.08.0.11	280		mat	謐		mat꜇	陽入					1/1	1/1
298.0.01.0.11	280		mát	抹		mát꜆	陰入					1/1	1/1
298.0.02.0.11	280		mát	襪		mát꜇	陽入					1/1	1/1
299.0.01.0.11	281		mau	蹘		꜀mau	陰平			A colloquial word; to sit on the heels; to rest upon, to perch, to roost; to thump; …		1/1	1/1
299.0.02.0.11	281		mau	謀		꜁mau	陽平					1/1	1/1
299.0.03.0.11	281		mau	牟		꜁mau	陽平					1/1	1/1
299.0.04.0.11	281		mau	麰		꜁mau	陽平					1/1	1/1
299.0.05.0.11	281		mau	侔		꜁mau	陽平					1/1	1/1
299.0.06.0.11	281		mau	眸		꜁mau	陽平					1/1	1/1
299.0.07.0.11	281		mau	繆		꜁mau	陽平					1/2	1/1
299.0.07.0.21	281		mau	繆		muk꜇	陽入			A bad name in an epitaph		2/2	1/1
299.0.08.0.11	281		mau	鍪		꜁mau	陽平					1/1	1/1
299.0.09.0.11	281		mau	某|厶		꜃mau	陽上					1/1	1/1
299.0.10.0.11	281		mau	畆		꜃mau	陽上				原字模作「𤱔」	1/1	1/1
299.0.11.0.11	282		mau	拇		꜃mau	陽上					1/1	1/1
299.0.12.0.11	282		mau	牡		꜃mau	陽上					1/1	1/1
299.0.13.0.11	282		mau	茂		mau꜅	陽去					1/1	1/1
299.0.14.0.11	282		mau	懋		mau꜅	陽去					1/1	1/1
299.0.15.0.11	282		mau	謬		mau꜅	陽去					1/1	1/1
299.0.15.1.11		723	mau	貿		mau꜅	陽去					1/1	1/1
299.0.15.2.11		723	mau	瞀		mau꜅	陽去					1/1	1/1
300.0.01.0.11	282		máu	矛		꜁máu	陽平					1/1	1/1
300.0.02.0.11	282		máu	茅		꜁máu	陽平					1/1	1/1
300.0.03.0.11	282		máu	蝥|蟊		꜁máu	陽平					1/1	1/1
300.0.04.0.11	282		máu	髳		꜁máu	陽平					1/1	1/1
300.0.05.0.11	282		máu	茆		꜁máu	陽平					1/1	1/1
300.0.06.0.11	282		máu	貓		꜁máu	陽平					1/1	1/2
300.0.06.0.12	282		máu	貓		꜀máu	陰平	OFTEN_PRO				1/1	2/2
300.0.07.0.11	283		máu	卯		꜃máu	陽上					1/1	1/1
300.0.08.0.11	283		máu	昴		꜃máu	陽上					1/1	1/1
300.0.09.0.11	283		máu	貌		máu꜅	陽去					1/1	1/1
301.0.01.0.11	283		mé	𧴯		꜀mé	陰平					1/1	1/1
301.0.02.0.11	283		mé	哶		꜀mé	陰平					1/1	1/1
301.0.03.0.11	283		mé	歪		꜂mé	陰上					1/1	1/1
302.0.01.0.11	284		mek	擘		mek꜇	陽入					1/1	1/1
303.0.01.0.11	284		meng	○		꜁meng	陽平			This sound is often heard as a contraction for [꜁’m ꜁ts‘ang], not yet. Also [꜁ts‘ung ꜁meng], rosin, gum of the pine or fir		1/1	1/1
304.0.01.0.11	284		mí	㖇		꜀mí	陰平					1/1	1/1
304.0.02.0.11	284		mí	微		꜁mí	陽平					1/1	1/1
304.0.03.0.11	284		mí	溦		꜁mí	陽平					1/1	1/1
304.0.04.0.11	284		mí	薇		꜁mí	陽平					1/1	1/1
304.0.05.0.11	284		mí	媺		꜁mí	陽平					1/1	1/1
304.0.06.0.11	284		mí	眉		꜁mí	陽平					1/1	1/1
304.0.07.0.11	284		mí	湄		꜁mí	陽平					1/1	1/1
304.0.08.0.11	284		mí	嵋		꜁mí	陽平					1/1	1/1
304.0.09.0.11	284		mí	楣		꜁mí	陽平					1/1	1/1
304.0.10.0.11	284		mí	郿		꜁mí	陽平					1/1	1/1
304.0.11.0.11	285		mí	麋		꜁mí	陽平					1/1	1/1
304.0.12.0.11	285		mí	縻		꜁mí	陽平					1/1	1/1
304.0.13.0.11	285		mí	蘼		꜁mí	陽平					1/1	1/1
304.0.14.0.11	285		mí	醾		꜁mí	陽平					1/1	1/1
304.0.15.0.11	285		mí	糜		꜁mí	陽平					1/1	1/1
304.0.16.0.11	285		mí	弭		꜁mí	陽平					1/1	1/1
304.0.17.0.11	285		mí	靡		꜃mí	陽上					1/1	1/1
304.0.18.0.11	285		mí	亹		꜃mí	陽上					1/1	1/1
304.0.19.0.11	285		mí	尾		꜃mí	陽上					1/1	1/1
304.0.20.0.11	285		mí	美		꜃mí	陽上					1/1	1/1
304.0.21.0.11	286		mí	未		mí꜅	陽去					1/1	1/1
304.0.22.0.11	286		mí	味		mí꜅	陽去					1/1	1/1
304.0.23.0.11	286		mí	寐		mí꜅	陽去					1/1	1/1
304.0.24.0.11	286		mí	眯		mí꜅	陽去					1/1	1/1
304.0.25.0.11	286		mí	媚		mí꜅	陽去					1/1	1/1
304.0.26.0.11	286		mí	魅		mí꜅	陽去					1/1	1/1
305.0.01.0.11	286		mik	覔|覓		mik꜇	陽入					1/1	1/1
305.0.02.0.11	286		mik	冖|冪		mik꜇	陽入					1/1	1/1
306.0.01.0.11	286		mín	眠		꜁mín	陽平					1/1	1/1
306.0.02.0.11	287		mín	綿|緜		꜁mín	陽平					1/1	1/1
306.0.03.0.11	287		mín	棉		꜁mín	陽平					1/1	1/1
306.0.04.0.11	287		mín	免		꜃mín	陽上					1/1	1/1
306.0.05.0.11	287		mín	俛		꜃mín	陽上					1/1	1/1
306.0.06.0.11	287		mín	勉		꜃mín	陽上					1/1	1/1
306.0.07.0.11	287		mín	㝃		꜃mín	陽上					1/1	1/1
306.0.08.0.11	287		mín	冕		꜃mín	陽上					1/1	1/1
306.0.09.0.11	287		mín	眄		꜃mín	陽上					1/1	1/1
306.0.10.0.11	287		mín	沔		꜃mín	陽上					1/1	1/1
306.0.11.0.11	287		mín	愐		꜃mín	陽上					1/1	1/1
306.0.12.0.11	287		mín	勔		꜃mín	陽上					1/1	1/1
306.0.13.0.11	288		mín	湎		꜃mín	陽上					1/1	1/1
306.0.14.0.11	288		mín	緬		꜃mín	陽上					1/1	1/1
306.0.15.0.11	288		mín	面		mín꜅	陽去					1/1	1/1
306.0.16.0.11	288		mín	麪|麵		mín꜅	陽去					1/1	1/1
307.0.01.0.11	288		ming	明		꜁ming	陽平					1/1	1/1
307.0.02.0.11	289		ming	名		꜁ming	陽平					1/1	1/2
307.0.02.0.12	289		ming	名		꜁meng	陽平	USUALLY_PRO				1/1	2/2
307.0.03.0.11	289		ming	冥		꜁ming	陽平					1/1	1/1
307.0.04.0.11	289		ming	溟		꜁ming	陽平					1/1	1/1
307.0.05.0.11	289		ming	蓂		꜁ming	陽平				原字模作⿱艹𡨕	1/1	1/1
307.0.06.0.11	289		ming	螟		꜁ming	陽平					1/1	1/1
307.0.07.0.11	289		ming	鳴		꜁ming	陽平					1/1	1/1
307.0.08.0.11	290		ming	茗		꜃ming	陽上					1/1	1/1
307.0.09.0.11	290		ming	酩		꜃ming	陽上					1/1	1/1
307.0.10.0.11	290		ming	銘		꜃ming	陽上					1/1	1/1
307.0.11.0.11	290		ming	瞑		꜃ming	陽上					1/1	1/1
307.0.12.0.11	290		ming	皿		꜃ming	陽上					1/1	1/1
307.0.13.0.11	290		ming	命		ming꜅	陽去					1/1	1/2
307.0.13.0.12	290		ming	命		meng꜅	陽去					1/1	2/2
308.0.01.0.11	290		mít	搣		mít꜆	陰入					1/1	1/1
308.0.02.0.11	290		mít	烕|滅		mít꜇	陽入					1/1	1/1
308.0.03.0.11	291		mít	蔑		mít꜇	陽入					1/1	1/1
308.0.04.0.11	291		mít	篾		mít꜇	陽入					1/1	1/1
308.0.05.0.11	291		mít	蠛		mít꜇	陽入					1/1	1/1
308.0.05.1.11		723	mít	㩢		mít꜇	陽入					1/1	1/1
308.0.05.2.11		723	mít	衊		mít꜇	陽入					1/1	1/1
309.0.01.0.11	291		miú	苗		꜁miú	陽平					1/1	1/1
309.0.02.0.11	291		miú	描		꜁miú	陽平					1/1	1/1
309.0.03.0.11	291		miú	猫	貓	꜁miú	陽平					1/1	1/1
309.0.04.0.11	291		miú	眇		꜃miú	陽上					1/1	1/1
309.0.05.0.11	291		miú	渺		꜃miú	陽上					1/1	1/1
309.0.06.0.11	291		miú	杪		꜃miú	陽上					1/1	1/1
309.0.07.0.11	291		miú	杳		꜃miú	陽上					1/1	1/1
309.0.08.0.11	292		miú	藐		꜃miú	陽上					1/1	1/1
309.0.09.0.11	292		miú	邈		꜃miú	陽上					1/1	1/1
309.0.10.0.11	292		miú	妙		miú꜅	陽去					1/1	1/1
309.0.11.0.11	292		miú	廟|庙		miú꜅	陽去					1/1	1/1
310.0.01.0.11	292		mo	麼|𢇝		꜀mo	陰平					1/1	1/1
310.0.02.0.11	292		mo	嚤		꜀mo	陰平					1/1	1/1
310.0.03.0.11	292		mo	摩		꜀mo	陰平					1/1	1/1
310.0.04.0.11	292		mo	𥂓		꜀mo	陰平					1/1	1/1
310.0.05.0.11	292		mo	魔		꜁mo	陽平					1/1	1/1
310.0.06.0.11	293		mo	磨		꜁mo	陽平					1/1	1/1
310.0.07.0.11	293		mo	劘		꜁mo	陽平					1/1	1/1
310.0.08.0.11	293		mo	莫		꜂mo	陰上			A colloquial word; [꜂mo tsz’꜅] stop, wait a minute!		1/1	1/1
310.0.09.0.11	293		mo	磨		mo꜅	陽去				字模本作「磿」	1/1	1/1
311.0.01.0.11	293		mò	巫		꜁mò	陽平					1/1	1/1
311.0.02.0.11	293		mò	誣		꜁mò	陽平					1/1	1/1
311.0.03.0.11	293		mò	毛		꜁mò	陽平					1/1	1/1
311.0.04.0.11	293		mò	髦		꜁mò	陽平					1/1	1/1
311.0.05.0.11	294	723	mò	旄		꜁mò	陽平					1/1	1/1
311.0.06.0.11	294		mò	芼		꜁mò	陽平					1/1	1/1
311.0.07.0.11	294		mò	模		꜁mò	陽平					1/1	1/1
311.0.08.0.11	294		mò	摹		꜁mò	陽平					1/1	1/1
311.0.09.0.11	294		mò	謨		꜁mò	陽平					1/1	1/1
311.0.10.0.11	294		mò	毋		꜁mò	陽平					1/1	1/1
311.0.11.0.11	294		mò	無|旡		꜁mò	陽平					1/1	1/1
311.0.11.1.11		723	mò	嫫		꜁mò	陽平					1/1	1/1
311.0.11.2.11		723	mò	酕		꜁mò	陽平					1/1	1/1
311.0.12.0.11	294		mò	冇		꜃mò	陽上					1/1	1/1
311.0.13.0.11	294		mò	蕪		꜁mò	陽平					1/1	1/1
311.0.14.0.11	294		mò	憮		꜃mò	陽上					1/1	1/1
311.0.15.0.11	294		mò	廡		꜃mò	陽上					1/1	1/1
311.0.16.0.11	294		mò	膴		꜃mò	陽上					1/1	1/1
311.0.17.0.11	294		mò	母		꜃mò	陽上					1/1	1/1
311.0.18.0.11	295		mò	姆		꜃mò	陽上					1/1	1/1
311.0.19.0.11	295		mò	侮		꜃mò	陽上					1/1	1/1
311.0.20.0.11	295		mò	武		꜃mò	陽上					1/1	1/1
311.0.21.0.11	295		mò	碔		꜃mò	陽上					1/1	1/1
311.0.22.0.11	295		mò	鵡		꜃mò	陽上					1/1	1/1
311.0.23.0.11	295		mò	舞		꜃mò	陽上					1/1	1/1
311.0.24.0.11	295		mò	儛		꜃mò	陽上					1/1	1/1
311.0.25.0.11	295		mò	耄		mò꜅	陽去					1/1	1/1
311.0.26.0.11	295		mò	眊		mò꜅	陽去					1/1	1/1
311.0.27.0.11	295		mò	務		mò꜅	陽去					1/1	1/1
311.0.28.0.11	296		mò	霧		mò꜅	陽去					1/1	1/1
311.0.29.0.11	296		mò	騖		mò꜅	陽去					1/1	1/1
311.0.30.0.11	296		mò	暮		mò꜅	陽去					1/1	1/1
311.0.31.0.11	296		mò	墓		mò꜅	陽去					1/1	1/1
311.0.32.0.11	296		mò	募		mò꜅	陽去					1/1	1/1
311.0.33.0.11	296		mò	慕		mò꜅	陽去					1/1	1/1
311.0.34.0.11	296		mò	戊		mò꜅	陽去					1/1	1/1
311.0.35.0.11	296		mò	冒		mò꜅	陽去					1/1	1/1
311.0.36.0.11	296		mò	媢		mò꜅	陽去					1/1	1/1
311.0.37.0.11	296		mò	帽		mò꜅	陽去					1/1	1/1
312.0.01.0.11	297		mok	摸		mok꜆	陰入					1/1	1/1
312.0.02.0.11	297		mok	剝		mok꜆	陰入					1/1	1/1
312.0.03.0.11	297		mok	莫		mok꜇	陽入					1/1	1/1
312.0.04.0.11	297		mok	漠		mok꜇	陽入					1/1	1/1
312.0.05.0.11	297		mok	幕		mok꜇	陽入					1/1	1/1
312.0.06.0.11	297		mok	寞		mok꜇	陽入					1/1	1/1
312.0.07.0.11	297		mok	瘼		mok꜇	陽入					1/1	1/1
312.0.08.0.11	297		mok	膜		mok꜇	陽入			The flimy skin between the flesh and epidermis; the thin peel inside of grasses or eggs; any membrance or pellicle in plants or animals …		1/2	1/1
312.0.08.0.21	297		mok	膜		꜁mò	陽平			To bow, to make obeisance,; to soothe; to receive by kneeling to; [꜁mò pái꜄] to salute by kneeling		2/2	1/1
312.0.09.0.11	297		mok	鏌		mok꜇	陽入					1/1	1/1
313.0.01.0.11	298		mong	棢		꜀mong	陰平				字模本作「棡」	1/1	1/1
313.0.02.0.11	298		mong	亡		꜁mong	陽平					1/1	1/1
313.0.03.0.11	298		mong	忙		꜁mong	陽平					1/1	1/1
313.0.04.0.11	298		mong	忘		꜁mong	陽平					1/1	1/1
313.0.05.0.11	298		mong	芒		꜁mong	陽平					1/1	1/1
313.0.06.0.11	298		mong	茫		꜁mong	陽平					1/1	1/1
313.0.07.0.11	298		mong	𥐞		꜁mong	陽平					1/1	1/1
313.0.08.0.11	298		mong	鋩		꜁mong	陽平					1/1	1/1
313.0.09.0.11	298		mong	邙		꜁mong	陽平					1/1	1/1
313.0.10.0.11	298		mong	蝱		꜁mong	陽平					1/1	1/1
313.0.11.0.11	298		mong	罔		꜃mong	陽上					1/1	1/1
313.0.12.0.11	298		mong	網		꜃mong	陽上					1/1	1/1
313.0.13.0.11	299		mong	輞		꜃mong	陽上					1/1	1/1
313.0.14.0.11	299		mong	惘		꜃mong	陽上					1/1	1/1
313.0.15.0.11	299		mong	魍		꜃mong	陽上					1/1	1/1
313.0.16.0.11	299		mong	莽		꜃mong	陽上					1/1	1/1
313.0.17.0.11	299		mong	蟒		꜃mong	陽上					1/1	1/1
313.0.18.0.11	299		mong	妄		꜃mong	陽上					1/1	1/1
313.0.19.0.11	299		mong	望		mong꜅	陽去					1/1	1/1
314.0.01.0.11	300		múi	妹		꜀múi	陰平					1/1	1/1
314.0.02.0.11	300		múi	枚		꜁múi	陽平					1/1	1/1
314.0.03.0.11	300		múi	梅		꜁múi	陽平					1/1	1/1
314.0.04.0.11	300		múi	脢		꜁múi	陽平					1/1	1/1
314.0.05.0.11	300		múi	莓		꜁múi	陽平					1/1	1/1
314.0.06.0.11	300		múi	鋂		꜁múi	陽平					1/1	1/1
314.0.07.0.11	300		múi	霉		꜁múi	陽平					1/1	1/1
314.0.08.0.11	300		múi	媒		꜁múi	陽平					1/1	1/1
314.0.09.0.11	300		múi	煤		꜁múi	陽平					1/1	1/1
314.0.10.0.11	300		múi	禖		꜁múi	陽平					1/1	1/1
314.0.11.0.11	300		múi	腜		꜁múi	陽平					1/1	1/1
314.0.12.0.11	300		múi	玫		꜁múi	陽平				字模原作「玟」	1/1	1/1
314.0.13.0.11	300		múi	每		꜃múi	陽上					1/1	1/1
314.0.14.0.11	300		múi	浼|凂		꜃múi	陽上					1/1	1/1
314.0.15.0.11	301		múi	妹		múi꜅	陽去					1/1	1/1
314.0.16.0.11	301		múi	昧		múi꜅	陽去					1/1	1/1
314.0.17.0.11	301		múi	沬		múi꜅	陽去					1/1	1/1
314.0.18.0.11	301		múi	韎		múi꜅	陽去					1/1	1/1
314.0.19.0.11	301		múi	痗		múi꜅	陽去					1/1	1/1
314.0.20.0.11	301		múi	瑁		múi꜅	陽去			Tortoise-shell, called [toi꜅ múi꜅]; a red marbled color; [toi꜅ múi꜅ shek꜇ ꜀pán], the tortoise-shell garoupa (Serranus megachir)		1/2	1/1
314.0.20.0.21	301		múi	瑁		mò꜅	陽去			A sort of sceptre		2/2	1/1
315.0.01.0.11	301		muk	木		muk꜇	陽入					1/1	1/1
315.0.02.0.11	301		muk	沐		muk꜇	陽入					1/1	1/1
315.0.03.0.11	301		muk	霂		muk꜇	陽入					1/1	1/1
315.0.04.0.11	301		muk	楘		muk꜇	陽入					1/1	1/1
315.0.05.0.11	301		muk	鶩		muk꜇	陽入					1/1	1/1
315.0.06.0.11	301		muk	牧		muk꜇	陽入					1/1	1/1
315.0.07.0.11	302		muk	穆		muk꜇	陽入					1/1	1/1
315.0.08.0.11	302		muk	目		muk꜇	陽入					1/1	1/1
315.0.09.0.11	302		muk	苜		muk꜇	陽入					1/1	1/1
315.0.10.0.11	302		muk	睦		muk꜇	陽入					1/1	1/1
316.0.01.0.11	302		mún	捫		꜀mún	陰平					1/1	1/1
316.0.02.0.11	302		mún	捫		꜁mún	陽平					1/1	1/1
316.0.03.0.11	302		mún	門		꜁mún	陽平					1/1	1/1
316.0.04.0.11	303		mún	們		꜁mún	陽平					1/1	1/1
316.0.05.0.11	303		mún	墁		꜁mún	陽平					1/1	1/1
316.0.06.0.11	303		mún	鏝		꜁mún	陽平					1/1	1/1
316.0.07.0.11	303		mún	漫		꜁mún	陽平					1/1	1/2
316.0.07.0.12	303		mún	漫		mán꜅	陽去	ALSO_PRO				1/1	2/2
316.0.08.0.11	303		mún	饅		꜁mún	陽平					1/1	1/1
316.0.09.0.11	303		mún	亹		꜁mún	陽平					1/1	1/1
316.0.10.0.11	303		mún	瞞		꜁mún	陽平					1/1	1/1
316.0.11.0.11	303		mún	璊		꜁mún	陽平					1/1	1/1
316.0.12.0.11	303		mún	滿		꜃mún	陽上					1/1	1/1
316.0.13.0.11	304		mún	悶|懣		mún꜅	陽去					1/1	1/1
317.0.01.0.11	304		mung	懜|懵		꜀mung	陰平					1/1	1/1
317.0.02.0.11	304		mung	蒙		꜁mung	陽平					1/1	1/1
317.0.03.0.11	304		mung	幪		꜁mung	陽平					1/1	1/1
317.0.04.0.11	304		mung	曚		꜁mung	陽平					1/1	1/1
317.0.05.0.11	304		mung	朦		꜁mung	陽平					1/1	1/1
317.0.06.0.11	304		mung	濛		꜁mung	陽平					1/1	1/1
317.0.07.0.11	304		mung	檬		꜁mung	陽平					1/1	1/1
317.0.08.0.11	304		mung	矇		꜁mung	陽平					1/1	1/1
317.0.09.0.11	304		mung	艨		꜁mung	陽平					1/1	1/1
317.0.10.0.11	304		mung	蠓		꜁mung	陽平					1/1	1/1
317.0.11.0.11	304		mung	靀		꜁mung	陽平					1/1	1/1
317.0.12.0.11	304		mung	饛		꜁mung	陽平					1/1	1/1
317.0.13.0.11	305		mung	夢|夣		mung꜅	陽去					1/1	1/1
318.0.01.0.11	305		mút	抹		mút꜆	陰入					1/1	1/1
318.0.02.0.11	305		mút	秣		mút꜆	陰入					1/1	1/1
318.0.03.0.11	305		mút	沫		mút꜆	陰入					1/1	1/1
