# 資料庫版本: 2021-08-01
編號	頁	字碼	字	(輔助檢索用異體)	異讀分類	欄位	義項	讀音類型	說明	粵拼讀音	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	增補讀音	經校訂修正	校訂註
2864	131	2421	燴			廣州話讀音欄		建議讀音		wui6	w	ui	6	6			
2865	131	2422	燻			廣州話讀音欄		建議讀音		fan1	f	an	1	1			
2866	131	2423	爆		8.02.1 (277頁)	廣州話讀音欄		建議讀音		baau3	b	aau	3	3			
2867	131	2424	爍		8.02.1 (277頁)	廣州話讀音欄		建議讀音		soek3	s	oek	3	8			
2868	131	2425	爐			廣州話讀音欄		建議讀音		lou4	l	ou	4	4			
2869	131	2426	爛			廣州話讀音欄		建議讀音		laan6	l	aan	6	6			
2870	131	2427	爨			廣州話讀音欄		建議讀音		cyun3	c	yun	3	3			
2871	131	2428	爪			廣州話讀音欄		建議讀音		zaau2	z	aau	2	2			
2872	131	2429	爬			廣州話讀音欄		建議讀音		paa4	p	aa	4	4			
2873	131	2430	爭	争		廣州話讀音欄		建議讀音		zang1	z	ang	1	1			
2874	131	2431	爰		4.27 (145頁)	廣州話讀音欄		建議讀音		wun4	w	un	4	4			
2875	131	2431	爰		4.27 (145頁)	廣州話讀音欄		建議讀音	或	jyun4	j	yun	4	4			
2876	131	2432	爵			廣州話讀音欄		建議讀音		zoek3	z	oek	3	8			
2877	131	2433	父		8.02.2 (322頁)	廣州話讀音欄		建議讀音		fu6	f	u	6	6			
2878	131	2433	父		8.02.2 (322頁)	備註欄		古	田父	fu2	f	u	2	2			
2879	132	2434	爸			廣州話讀音欄		建議讀音		baa1	b	aa	1	1			
2880	132	2435	爹			廣州話讀音欄		建議讀音		de1	d	e	1	1			
2881	132	2436	爺			廣州話讀音欄		建議讀音		je4	j	e	4	4			
2882	132	2437	爻			廣州話讀音欄		建議讀音		ngaau4	ng	aau	4	4			
2883	132	2438	爽			廣州話讀音欄		建議讀音		song2	s	ong	2	2			
2884	132	2439	爾			廣州話讀音欄		建議讀音		ji5	j	i	5	5			
2885	132	2440	牆			廣州話讀音欄		建議讀音		coeng4	c	oeng	4	4			
2886	132	2441	片		3.07.3 (113頁)	廣州話讀音欄		建議讀音		pin3	p	in	3	3			
2887	132	2441	片		3.07.3 (113頁)	備註欄		語		pin2	p	in	2	2			
2888	132	2442	版			廣州話讀音欄		建議讀音		baan2	b	aan	2	2			
2889	132	2443	牌			廣州話讀音欄		建議讀音		paai4	p	aai	4	4			
2890	132	2444	牒			廣州話讀音欄		建議讀音		dip6	d	ip	6	9			
2891	132	2445	牖			廣州話讀音欄		建議讀音		jau5	j	au	5	5			
2892	132	2446	牘			廣州話讀音欄		建議讀音		duk6	d	uk	6	9			
2893	132	2447	牙			廣州話讀音欄		建議讀音		ngaa4	ng	aa	4	4			
2894	133	2448	牛			廣州話讀音欄		建議讀音		ngau4	ng	au	4	4			
2895	133	2449	牟		6.31 (173頁)	廣州話讀音欄		建議讀音		mau4	m	au	4	4			
2896	133	2450	牝		1.15.2 (50頁)	廣州話讀音欄		建議讀音		pan5	p	an	5	5			
2897	133	2451	牢			廣州話讀音欄		建議讀音		lou4	l	ou	4	4			
2898	133	2452	牡		2.19.1 (72頁)	廣州話讀音欄		建議讀音		maau5	m	aau	5	5			
2899	133	2453	牠		2.02.1 (61頁)	廣州話讀音欄		建議讀音		taa1	t	aa	1	1			
2900	133	2454	牧			廣州話讀音欄		建議讀音		muk6	m	uk	6	9			
2901	133	2455	物			廣州話讀音欄		建議讀音		mat6	m	at	6	9			
2902	133	2456	牲		2.13.2 (68頁)	廣州話讀音欄		建議讀音		sang1	s	ang	1	1			
2903	133	2457	牯			廣州話讀音欄		建議讀音		gu2	g	u	2	2			
2904	133	2458	牴			廣州話讀音欄		建議讀音		dai2	d	ai	2	2			
2905	133	2459	特			廣州話讀音欄		建議讀音		dak6	d	ak	6	9			
2906	133	2460	牽			廣州話讀音欄		建議讀音		hin1	h	in	1	1			
2907	133	2461	犁	犂		廣州話讀音欄		建議讀音		lai4	l	ai	4	4			
2908	133	2462	犄			廣州話讀音欄		建議讀音		gei1	g	ei	1	1			
2909	133	2463	犀			廣州話讀音欄		建議讀音		sai1	s	ai	1	1			
2910	133	2464	犒			廣州話讀音欄		建議讀音		hou3	h	ou	3	3			
2911	133	2465	犖		3.23.1 (136頁)	廣州話讀音欄		建議讀音		lok3	l	ok	3	8			
2912	133	2466	犛			廣州話讀音欄		建議讀音		lei4	l	ei	4	4			
2913	133	2467	犢			廣州話讀音欄		建議讀音		duk6	d	uk	6	9			
2914	133	2468	犧			廣州話讀音欄		建議讀音		hei1	h	ei	1	1			
2915	133	2469	犬			廣州話讀音欄		建議讀音		hyun2	h	yun	2	2			
2916	133	2470	犯			廣州話讀音欄		建議讀音		faan6	f	aan	6	6			
2917	134	2471	狄			廣州話讀音欄		建議讀音		dik6	d	ik	6	9			
2918	134	2472	狂		1.31.1 (57頁)	廣州話讀音欄		建議讀音		kwong4	kw	ong	4	4			
2919	134	2472	狂		1.31.1 (57頁)	備註欄		又		kong4	k	ong	4	4			
2920	134	2473	狀	状		廣州話讀音欄		建議讀音		zong6	z	ong	6	6			
2921	134	2474	狎			廣州話讀音欄		建議讀音		haap6	h	aap	6	9			
2922	134	2475	狙			廣州話讀音欄		建議讀音		zeoi1	z	eoi	1	1			
2923	134	2476	狗			廣州話讀音欄		建議讀音		gau2	g	au	2	2			
2924	134	2477	狐			廣州話讀音欄		建議讀音		wu4	w	u	4	4			
2925	134	2478	狩			廣州話讀音欄		建議讀音		sau3	s	au	3	3			
2926	134	2479	狡			廣州話讀音欄		建議讀音		gaau2	g	aau	2	2			
2927	134	2480	狠			廣州話讀音欄		建議讀音		han2	h	an	2	2			
2928	134	2481	狼			廣州話讀音欄		建議讀音		long4	l	ong	4	4			
2929	134	2482	狹		7.32 (184頁)	廣州話讀音欄		建議讀音		haap6	h	aap	6	9			
2930	134	2482	狹		7.32 (184頁)	備註欄		又		haap3	h	aap	3	8			
2931	134	2483	狽			廣州話讀音欄		建議讀音		bui3	b	ui	3	3			
2932	134	2484	狸			廣州話讀音欄		建議讀音		lei4	l	ei	4	4			
2933	134	2485	狷			廣州話讀音欄		建議讀音		gyun3	g	yun	3	3			
2934	134	2486	猜			廣州話讀音欄		建議讀音		caai1	c	aai	1	1			
2935	134	2487	猛			廣州話讀音欄		建議讀音		maang5	m	aang	5	5			
2936	134	2488	猖			廣州話讀音欄		建議讀音		coeng1	c	oeng	1	1			
2937	134	2489	猙		2.13.2 (68頁)	廣州話讀音欄		建議讀音		zang1	z	ang	1	1			
2938	134	2490	猶			廣州話讀音欄		建議讀音		jau4	j	au	4	4			
2939	134	2491	猥		6.42 (175頁)	廣州話讀音欄		建議讀音		wai2	w	ai	2	2			
2940	134	2491	猥		6.42 (175頁)	備註欄		又		wui1	w	ui	1	1			
2941	134	2492	猩			廣州話讀音欄		建議讀音		sing1	s	ing	1	1			
2942	134	2493	猴			廣州話讀音欄		建議讀音		hau4	h	au	4	4			
2943	134	2494	猷			廣州話讀音欄		建議讀音		jau4	j	au	4	4			
2944	134	2495	猿			廣州話讀音欄		建議讀音		jyun4	j	yun	4	4			
2945	134	2496	猾			廣州話讀音欄		建議讀音		waat6	w	aat	6	9			
2946	135	2497	獅			廣州話讀音欄		建議讀音		si1	s	i	1	1			
2947	135	2498	獄			廣州話讀音欄		建議讀音		juk6	j	uk	6	9			
2948	135	2499	獐			廣州話讀音欄		建議讀音		zoeng1	z	oeng	1	1			
2949	135	2500	獎	奨|奬		廣州話讀音欄		建議讀音		zoeng2	z	oeng	2	2			
2950	135	2501	獗			廣州話讀音欄		建議讀音		kyut3	k	yut	3	8			
2951	135	2502	獨			廣州話讀音欄		建議讀音		duk6	d	uk	6	9			
2952	135	2503	獰			廣州話讀音欄		建議讀音		ning4	n	ing	4	4			
2953	135	2504	獲		8.02.1 (277頁)	廣州話讀音欄		建議讀音		wok6	w	ok	6	9			
2954	135	2505	獷			廣州話讀音欄		建議讀音		gwong2	gw	ong	2	2			
2955	135	2506	獵			廣州話讀音欄		建議讀音		lip6	l	ip	6	9			
2956	135	2507	獸			廣州話讀音欄		建議讀音		sau3	s	au	3	3			
2957	135	2508	獺			廣州話讀音欄		建議讀音		caat3	c	aat	3	8			
2958	135	2509	獻			廣州話讀音欄		建議讀音		hin3	h	in	3	3			
2959	135	2510	玀			廣州話讀音欄		建議讀音		lo4	l	o	4	4			
2960	135	2511	玄	𤣥		廣州話讀音欄		建議讀音		jyun4	j	yun	4	4			
2961	135	2512	率		8.01.1 (215頁)	廣州話讀音欄	1	建議讀音	率領	seot1	s	eot	1	7			
2962	135	2512	率		8.01.1 (215頁)	廣州話讀音欄	2	建議讀音	效率	leot6	l	eot	6	9			
2963	135	2513	王		8.02.2 (322頁)	廣州話讀音欄		建議讀音		wong4	w	ong	4	4			
2964	135	2513	王		8.02.2 (322頁)	備註欄		古	王天下	wong6	w	ong	6	6			
2965	135	2514	玉			廣州話讀音欄		建議讀音		juk6	j	uk	6	9			
2966	135	2515	玖			廣州話讀音欄		建議讀音		gau2	g	au	2	2			
2967	135	2516	玟			廣州話讀音欄		建議讀音		man4	m	an	4	4			
2968	136	2517	玩		8.01.1 (215頁)	廣州話讀音欄	1	建議讀音	玩弄	wun6	w	un	6	6			
2969	136	2517	玩		8.01.1 (215頁)	廣州話讀音欄	2	建議讀音	玩耍	waan4	w	aan	4	4			
2970	136	2518	玫			廣州話讀音欄		建議讀音		mui4	m	ui	4	4			
2971	136	2519	玷			廣州話讀音欄		建議讀音		dim3	d	im	3	3			
2972	136	2520	珊			廣州話讀音欄		建議讀音		saan1	s	aan	1	1			
2973	136	2521	玻			廣州話讀音欄		建議讀音		bo1	b	o	1	1			
2974	136	2522	玲			廣州話讀音欄		建議讀音		ling4	l	ing	4	4			
2975	136	2523	珍			廣州話讀音欄		建議讀音		zan1	z	an	1	1			
2976	136	2524	珀			廣州話讀音欄		建議讀音		paak3	p	aak	3	8			
2977	136	2525	玳			廣州話讀音欄		建議讀音		doi6	d	oi	6	6			
2978	136	2526	班			廣州話讀音欄		建議讀音		baan1	b	aan	1	1			
2979	136	2527	珮			廣州話讀音欄		建議讀音		pui3	p	ui	3	3			
2980	136	2528	珠			廣州話讀音欄		建議讀音		zyu1	z	yu	1	1			
2981	136	2529	琉			廣州話讀音欄		建議讀音		lau4	l	au	4	4			
2982	136	2530	琅			廣州話讀音欄		建議讀音		long4	l	ong	4	4			
2983	136	2531	琊		4.21 (143頁)	廣州話讀音欄		建議讀音		je4	j	e	4	4			
2984	136	2532	球			廣州話讀音欄		建議讀音		kau4	k	au	4	4			
2985	136	2533	理			廣州話讀音欄		建議讀音		lei5	l	ei	5	5			
2986	136	2534	現			廣州話讀音欄		建議讀音		jin6	j	in	6	6			
2987	136	2535	琺			廣州話讀音欄		建議讀音		faat3	f	aat	3	8			
2988	136	2536	琪			廣州話讀音欄		建議讀音		kei4	k	ei	4	4			
2989	136	2537	琳			廣州話讀音欄		建議讀音		lam4	l	am	4	4			
2990	136	2538	琢			廣州話讀音欄		建議讀音		doek3	d	oek	3	8			
2991	136	2539	琵			廣州話讀音欄		建議讀音		pei4	p	ei	4	4			
2992	136	2540	琶			廣州話讀音欄		建議讀音		paa4	p	aa	4	4			
2993	136	2541	琥			廣州話讀音欄		建議讀音		fu2	f	u	2	2			
2994	137	2542	琴			廣州話讀音欄		建議讀音		kam4	k	am	4	4			
2995	137	2543	瑯			廣州話讀音欄		建議讀音		long4	l	ong	4	4			
2996	137	2544	瑁		2.59.1 (98頁)	廣州話讀音欄		建議讀音		mou6	m	ou	6	6			
2997	137	2544	瑁		2.59.1 (98頁)	備註欄			玳瑁又讀	mui6	m	ui	6	6			
2998	137	2545	琿		8.01.1 (215頁)	廣州話讀音欄	1	建議讀音	琿春縣	wan4	w	an	4	4			
2999	137	2545	琿		8.01.1 (215頁)	廣州話讀音欄	2	建議讀音	璦琿	fai1	f	ai	1	1			
3000	137	2546	瑚			廣州話讀音欄		建議讀音		wu4	w	u	4	4			
3001	137	2547	瑕			廣州話讀音欄		建議讀音		haa4	h	aa	4	4			
3002	137	2548	瑟			廣州話讀音欄		建議讀音		sat1	s	at	1	7			
3003	137	2549	瑞			廣州話讀音欄		建議讀音		seoi6	s	eoi	6	6			
3004	137	2550	瑛			廣州話讀音欄		建議讀音		jing1	j	ing	1	1			
3005	137	2551	瑙			廣州話讀音欄		建議讀音		nou5	n	ou	5	5			
3006	137	2552	瑜			廣州話讀音欄		建議讀音		jyu4	j	yu	4	4			
3007	137	2553	瑩			廣州話讀音欄		建議讀音		jing4	j	ing	4	4			
3008	137	2554	瑪			廣州話讀音欄		建議讀音		maa5	m	aa	5	5			
3009	137	2555	瑣	𤨏		廣州話讀音欄		建議讀音		so2	s	o	2	2			
3010	137	2556	瑤	瑶		廣州話讀音欄		建議讀音		jiu4	j	iu	4	4			
3011	137	2557	瑰		8.01.1 (215頁)	廣州話讀音欄	1	建議讀音	玫瑰	gwai3	gw	ai	3	3			
3012	137	2557	瑰		8.01.1 (215頁)	廣州話讀音欄	2	建議讀音	瑰麗	gwai1	gw	ai	1	1			
3013	137	2558	璋			廣州話讀音欄		建議讀音		zoeng1	z	oeng	1	1			
3014	137	2559	璃		3.04.6 (109頁)	廣州話讀音欄	1	建議讀音	琉璃	lei4	l	ei	4	4			
3015	137	2559	璃		3.04.6 (109頁)	廣州話讀音欄	2	建議讀音	玻璃	lei1	l	ei	1	1			
3016	137	2560	璜			廣州話讀音欄		建議讀音		wong4	w	ong	4	4			
3017	137	2561	璣			廣州話讀音欄		建議讀音		gei1	g	ei	1	1			
3018	137	2562	環			廣州話讀音欄		建議讀音		waan4	w	aan	4	4		Y	本注“wan4”音，今據《讀音表》直音及所參考工具書改正
3019	137	2563	璦			廣州話讀音欄		建議讀音		oi3		oi	3	3			
3020	137	2564	璧			廣州話讀音欄		建議讀音		bik1	b	ik	1	7			
3021	138	2565	璽			廣州話讀音欄		建議讀音		saai2	s	aai	2	2			
3022	138	2566	瓊			廣州話讀音欄		建議讀音		king4	k	ing	4	4			
3023	138	2567	瓏			廣州話讀音欄		建議讀音		lung4	l	ung	4	4			
3024	138	2568	瓜			廣州話讀音欄		建議讀音		gwaa1	gw	aa	1	1			
3025	138	2569	瓠		8.02.1 (277頁)	廣州話讀音欄		建議讀音		wu6	w	u	6	6			
3026	138	2570	瓢			廣州話讀音欄		建議讀音		piu4	p	iu	4	4			
3027	138	2571	瓣		8.02.2 (322頁)	廣州話讀音欄		建議讀音		faan6	f	aan	6	6			
3028	138	2571	瓣		8.02.2 (322頁)	備註欄		又		baan6	b	aan	6	6			
3029	138	2572	瓦			廣州話讀音欄		建議讀音		ngaa5	ng	aa	5	5			
3030	138	2573	瓶	甁	2.43.3 (88頁)	廣州話讀音欄		建議讀音		ping4	p	ing	4	4			
3031	138	2574	瓷			廣州話讀音欄		建議讀音		ci4	c	i	4	4			
3032	138	2575	甄		1.11.1 (47頁)	廣州話讀音欄		建議讀音		jan1	j	an	1	1			
3033	138	2575	甄		1.11.1 (47頁)	備註欄		又		zan1	z	an	1	1			
3034	138	2576	甌		1.01.1 (41頁)	廣州話讀音欄		建議讀音		au1		au	1	1			
3035	138	2577	甕		4.31 (146頁)	廣州話讀音欄		建議讀音		ung3		ung	3	3			
3036	138	2578	甘			廣州話讀音欄		建議讀音		gam1	g	am	1	1			
3037	138	2579	甚		6.33 (173頁)	廣州話讀音欄		建議讀音		sam6	s	am	6	6			
3038	138	2580	甜			廣州話讀音欄		建議讀音		tim4	t	im	4	4			
3039	139	2581	生		2.13.3 (69頁)	廣州話讀音欄		建議讀音		sang1	s	ang	1	1			
3040	139	2581	生		2.13.3 (69頁)	備註欄		又		saang1	s	aang	1	1			
3041	139	2582	產	産		廣州話讀音欄		建議讀音		caan2	c	aan	2	2			
3042	139	2583	甦			廣州話讀音欄		建議讀音		sou1	s	ou	1	1			
3043	139	2584	甥		2.13.3 (70頁)	廣州話讀音欄		建議讀音		sang1	s	ang	1	1			
3044	139	2584	甥		2.13.3 (70頁)	備註欄		又		saang1	s	aang	1	1			
3045	139	2585	用			廣州話讀音欄		建議讀音		jung6	j	ung	6	6			
3046	139	2586	甩		8.02.1 (278頁)	廣州話讀音欄		建議讀音		lat1	l	at	1	7			
3047	139	2587	甬			廣州話讀音欄		建議讀音		jung2	j	ung	2	2			
3048	139	2588	甫		8.01.2 (239頁)	廣州話讀音欄	1	建議讀音	台甫	fu2	f	u	2	2			
3049	139	2588	甫		8.01.2 (239頁)	廣州話讀音欄	2	建議讀音	十八甫（廣州市地名用字）	pou2	p	ou	2	2			
3050	139	2589	甭		6.02 (165頁)	廣州話讀音欄		建議讀音		bung2	b	ung	2	2			
3051	139	2590	田			廣州話讀音欄		建議讀音		tin4	t	in	4	4			
3052	139	2591	由			廣州話讀音欄		建議讀音		jau4	j	au	4	4			
3053	139	2592	甲			廣州話讀音欄		建議讀音		gaap3	g	aap	3	8			
3054	139	2593	申			廣州話讀音欄		建議讀音		san1	s	an	1	1			
3055	139	2594	男			廣州話讀音欄		建議讀音		naam4	n	aam	4	4			
3056	139	2595	甸			廣州話讀音欄		建議讀音		din6	d	in	6	6			
3057	139	2596	畏			廣州話讀音欄		建議讀音		wai3	w	ai	3	3			
3058	139	2597	界			廣州話讀音欄		建議讀音		gaai3	g	aai	3	3			
3059	139	2598	畔			廣州話讀音欄		建議讀音		bun6	b	un	6	6			
3060	139	2599	畝			廣州話讀音欄		建議讀音		mau5	m	au	5	5			
3061	140	2600	畜		8.02.1 (278頁)	廣州話讀音欄		建議讀音		cuk1	c	uk	1	7			
3062	140	2601	畚			廣州話讀音欄		建議讀音		bun2	b	un	2	2			
3063	140	2602	留			廣州話讀音欄		建議讀音		lau4	l	au	4	4			
3064	140	2603	畦			廣州話讀音欄		建議讀音		kwai4	kw	ai	4	4			
3065	140	2604	異			廣州話讀音欄		建議讀音		ji6	j	i	6	6			
3066	140	2605	略			廣州話讀音欄		建議讀音		loek6	l	oek	6	9			
3067	140	2606	畢			廣州話讀音欄		建議讀音		bat1	b	at	1	7			
3068	140	2607	畫	畵	3.14.4 (122頁); 8.01.2 (240頁)	廣州話讀音欄	1	建議讀音	圖畫	waa6	w	aa	6	6			
3069	140	2607	畫	畵	3.14.4 (122頁); 8.01.2 (240頁)	廣州話讀音欄	2	建議讀音	畫個圈	waak6	w	aak	6	9			
3070	140	2607	畫	畵	3.14.4 (122頁); 8.01.2 (240頁)	備註欄		語	圖畫	waa2	w	aa	2	2			
3071	140	2608	番			廣州話讀音欄	1	建議讀音	三番四次	faan1	f	aan	1	1			
3072	140	2608	番			廣州話讀音欄	2	建議讀音	番禺	pun1	p	un	1	1			
3073	140	2609	畸		1.20.4 (53頁)	廣州話讀音欄		建議讀音		kei1	k	ei	1	1			
3074	140	2609	畸		1.20.4 (53頁)	備註欄		又		gei1	g	ei	1	1			
3075	140	2610	當			廣州話讀音欄	1	建議讀音	當局	dong1	d	ong	1	1			
3076	140	2610	當			廣州話讀音欄	2	建議讀音	妥當	dong3	d	ong	3	3			
3077	140	2610	當			備註欄			(古)通擋	dong2	d	ong	2	2	Y		
3078	140	2611	疇			廣州話讀音欄		建議讀音		cau4	c	au	4	4			
3079	140	2612	疆			廣州話讀音欄		建議讀音		goeng1	g	oeng	1	1			
3080	140	2613	疊	叠		廣州話讀音欄		建議讀音		dip6	d	ip	6	9			
3081	140	2614	疋		8.02.2 (323頁)	廣州話讀音欄		建議讀音		pat1	p	at	1	7			
3082	140	2614	疋		8.02.2 (323頁)	備註欄			通雅	ngaa5	ng	aa	5	5	Y		
3083	140	2615	疏			廣州話讀音欄	1	建議讀音	疏導	so1	s	o	1	1			
3084	140	2615	疏			廣州話讀音欄	2	建議讀音	注疏	so3	s	o	3	3			
3085	140	2616	疑			廣州話讀音欄		建議讀音		ji4	j	i	4	4			
3086	141	2617	疝			廣州話讀音欄		建議讀音		saan3	s	aan	3	3			
3087	141	2618	疙			廣州話讀音欄		建議讀音		gat6	g	at	6	9			
3088	141	2619	疚			廣州話讀音欄		建議讀音		gau3	g	au	3	3			
3089	141	2620	疤			廣州話讀音欄		建議讀音		baa1	b	aa	1	1			
3090	141	2621	疫			廣州話讀音欄		建議讀音		jik6	j	ik	6	9			
3091	141	2622	疥			廣州話讀音欄		建議讀音		gaai3	g	aai	3	3			
3092	141	2623	疾		2.17.1 (72頁)	廣州話讀音欄		建議讀音		zat6	z	at	6	9			
3093	141	2624	病		2.43.2 (86頁)	廣州話讀音欄		建議讀音		beng6	b	eng	6	6			
3094	141	2624	病		2.43.2 (86頁)	備註欄		又		bing6	b	ing	6	6			
3095	141	2625	症			廣州話讀音欄		建議讀音		zing3	z	ing	3	3			
3096	141	2626	疳			廣州話讀音欄		建議讀音		gam1	g	am	1	1			
3097	141	2627	疽			廣州話讀音欄		建議讀音		zeoi1	z	eoi	1	1			
3098	141	2628	疲			廣州話讀音欄		建議讀音		pei4	p	ei	4	4			
3099	141	2629	疼		8.01.1 (216頁)	廣州話讀音欄	1	建議讀音	疼痛	tang4	t	ang	4	4			
3100	141	2629	疼		8.01.1 (216頁)	廣州話讀音欄	2	建議讀音	肚子疼，疼愛	tung3	t	ung	3	3			
3101	141	2630	疹		1.13.3 (49頁)	廣州話讀音欄		建議讀音		can2	c	an	2	2			
3102	141	2631	痔			廣州話讀音欄		建議讀音		zi6	z	i	6	6			
3103	141	2632	痕			廣州話讀音欄		建議讀音		han4	h	an	4	4			
3104	141	2633	疵		3.04.1 (106頁)	廣州話讀音欄		建議讀音		ci1	c	i	1	1			
3105	141	2634	痊			廣州話讀音欄		建議讀音		cyun4	c	yun	4	4			
3106	141	2635	痛			廣州話讀音欄		建議讀音		tung3	t	ung	3	3			
3107	141	2636	痣			廣州話讀音欄		建議讀音		zi3	z	i	3	3			
3108	141	2637	痙			廣州話讀音欄		建議讀音		ging6	g	ing	6	6			
3109	141	2638	痘			廣州話讀音欄		建議讀音		dau6	d	au	6	6			
3110	141	2639	痞		7.54 (191頁)	廣州話讀音欄		建議讀音		pei2	p	ei	2	2			
3111	141	2639	痞		7.54 (191頁)	備註欄		語		mau1	m	au	1	1			
3112	141	2640	痢			廣州話讀音欄		建議讀音		lei6	l	ei	6	6			
3113	141	2641	瘀		3.02.2 (103頁)	廣州話讀音欄		建議讀音		jyu2	j	yu	2	2			
3114	141	2641	瘀		3.02.2 (103頁)	備註欄		又		jyu1	j	yu	1	1			
3115	142	2642	痰			廣州話讀音欄		建議讀音		taam4	t	aam	4	4			
3116	142	2643	瘁			廣州話讀音欄		建議讀音		seoi6	s	eoi	6	6			
3117	142	2644	痲	痳	4.28 (145頁); 8.02.1 (278頁)	廣州話讀音欄		建議讀音		maa4	m	aa	4	4			
3118	142	2645	痱		6.13 (168頁)	廣州話讀音欄		建議讀音		fai2	f	ai	2	2			
3119	142	2645	痱		6.13 (168頁)	備註欄		又		fei2	f	ei	2	2			
3120	142	2646	痺		8.02.1 (278頁)	廣州話讀音欄		建議讀音		bei3	b	ei	3	3			
3121	142	2647	痿			廣州話讀音欄		建議讀音		wai2	w	ai	2	2			
3122	142	2648	痴			廣州話讀音欄		建議讀音		ci1	c	i	1	1			
3123	142	2649	瘧			廣州話讀音欄		建議讀音		joek6	j	oek	6	9			
3124	142	2650	瘍			廣州話讀音欄		建議讀音		joeng4	j	oeng	4	4			
3125	142	2651	瘋			廣州話讀音欄		建議讀音		fung1	f	ung	1	1			
3126	142	2652	瘉	癒		廣州話讀音欄		建議讀音		jyu6	j	yu	6	6			
3127	142	2653	瘓			廣州話讀音欄		建議讀音		wun6	w	un	6	6			
3128	142	2654	瘦	痩		廣州話讀音欄		建議讀音		sau3	s	au	3	3			
3129	142	2655	瘩		8.02.1 (278頁)	廣州話讀音欄		建議讀音		daap3	d	aap	3	8			
3130	142	2656	瘟			廣州話讀音欄		建議讀音		wan1	w	an	1	1			
3131	142	2657	瘠		2.42.1 (84頁)	廣州話讀音欄		建議讀音		zek3	z	ek	3	8			
3132	142	2658	瘤			廣州話讀音欄		建議讀音		lau4	l	au	4	4			
3133	142	2659	瘡			廣州話讀音欄		建議讀音		cong1	c	ong	1	1			
3134	142	2660	瘴			廣州話讀音欄		建議讀音		zoeng3	z	oeng	3	3			
3135	142	2661	瘸			廣州話讀音欄		建議讀音		ke4	k	e	4	4			
3136	142	2662	癆			廣州話讀音欄		建議讀音		lou4	l	ou	4	4			
3137	142	2663	癌			廣州話讀音欄		建議讀音		ngaam4	ng	aam	4	4			
3138	142	2664	療			廣州話讀音欄		建議讀音		liu4	l	iu	4	4			
3139	142	2665	癖			廣州話讀音欄		建議讀音		pik1	p	ik	1	7			
3140	143	2666	癘		8.02.1 (278頁)	廣州話讀音欄		建議讀音		lai6	l	ai	6	6			
3141	143	2667	癢			廣州話讀音欄		建議讀音		joeng5	j	oeng	5	5			
3142	143	2668	癥		3.03.1 (104頁)	廣州話讀音欄		建議讀音		zing1	z	ing	1	1			
3143	143	2669	癩			廣州話讀音欄		建議讀音		laai3	l	aai	3	3			
3144	143	2670	癮		6.22 (170頁)	廣州話讀音欄		建議讀音		jan5	j	an	5	5			
3145	143	2671	癬			廣州話讀音欄		建議讀音		sin2	s	in	2	2			
3146	143	2672	癱		3.01.5 (102頁)	廣州話讀音欄		建議讀音		taan2	t	aan	2	2			
3147	143	2672	癱		3.01.5 (102頁)	備註欄		又		taan1	t	aan	1	1			
3148	143	2673	癲			廣州話讀音欄		建議讀音		din1	d	in	1	1			
3149	143	2674	癸			廣州話讀音欄		建議讀音		gwai3	gw	ai	3	3			
3150	143	2675	登			廣州話讀音欄		建議讀音		dang1	d	ang	1	1			
3151	143	2676	發			廣州話讀音欄		建議讀音		faat3	f	aat	3	8			
3152	143	2677	白			廣州話讀音欄		建議讀音		baak6	b	aak	6	9			
3153	143	2678	百			廣州話讀音欄		建議讀音		baak3	b	aak	3	8			
3154	143	2679	皂			廣州話讀音欄		建議讀音		zou6	z	ou	6	6			
3155	143	2680	的			廣州話讀音欄		建議讀音		dik1	d	ik	1	7			
3156	143	2681	皇			廣州話讀音欄		建議讀音		wong4	w	ong	4	4			
3157	143	2682	皆			廣州話讀音欄		建議讀音		gaai1	g	aai	1	1			
3158	143	2683	皈			廣州話讀音欄		建議讀音		gwai1	gw	ai	1	1			
3159	143	2684	皎			廣州話讀音欄		建議讀音		gaau2	g	aau	2	2			
3160	144	2685	皖		3.11.3 (119頁)	廣州話讀音欄		建議讀音		wun5	w	un	5	5			
3161	144	2686	皓		5.47 (158頁)	廣州話讀音欄		建議讀音		hou6	h	ou	6	6			
3162	144	2687	皚		7.49 (189頁)	廣州話讀音欄		建議讀音		ngoi2	ng	oi	2	2			
3163	144	2687	皚		7.49 (189頁)	備註欄		又		ngoi4	ng	oi	4	4			
3164	144	2688	皮			廣州話讀音欄		建議讀音		pei4	p	ei	4	4			
3165	144	2689	皰		3.03.3 (105頁)	廣州話讀音欄		建議讀音		paau3	p	aau	3	3			
3166	144	2690	皴		1.12.3 (48頁)	廣州話讀音欄		建議讀音		seon1	s	eon	1	1			
3167	144	2691	皺			廣州話讀音欄		建議讀音		zau3	z	au	3	3			
3168	144	2692	皿			廣州話讀音欄		建議讀音		ming5	m	ing	5	5			
3169	144	2693	盂			廣州話讀音欄		建議讀音		jyu4	j	yu	4	4			
3170	144	2694	盈			廣州話讀音欄		建議讀音		jing4	j	ing	4	4			
3171	144	2695	盃			廣州話讀音欄		建議讀音		bui1	b	ui	1	1			
3172	144	2696	盆			廣州話讀音欄		建議讀音		pun4	p	un	4	4			
3173	144	2697	益			廣州話讀音欄		建議讀音		jik1	j	ik	1	7			
